country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,63.4,63.7,64.4,64.5,64.3,64.7,65,65.2,65.5,65.9,66.3,64.4,63.7,63.3,62.1,61.3,60.1,59.3,56.9,54.6,53.6,51.4,49.8,48.4,47.1,45.8,44,43.1,42.5
Angola,39.8,39.9,40.2,40.1,39.6,39,38.5,38.2,37.9,37.5,37.2,36.6,36.4,36.2,38.1,40.2,42.2,44.4,46.5,48.9,51.2,51.2,51.2,51.1,51.2,51.2,51,50.9,50.7
Albania,57.9,58.1,57.6,57.1,56.4,56,56.1,55.3,54.1,52.8,51.3,50.2,49.3,48.3,47.4,46.3,45.5,44.7,44.1,42.1,45.7,46,44.2,42.2,41.2,40.1,38.1,37.3,36.6
UAE,8.46,8.36,8.24,8.13,8,7.99,7.96,7.92,7.92,7.9,7.25,6.67,6.11,5.63,5.19,4.78,4.39,4.03,3.68,3.38,3.08,2.79,2.51,2.25,2.01,1.81,1.62,1.46,1.39
Argentina,0.343,0.403,0.453,0.452,0.622,0.763,0.794,0.762,0.742,0.673,0.833,0.983,1.4,1.5,1.28,1.05,1.12,1.19,1.23,1.27,0.636,0.616,0.619,0.549,0.262,0.125,0.0592,0.0953,0.0579
Armenia,43.8,44.4,44.6,44.7,44.5,44.3,44.1,43.7,43.4,42.9,42.2,41.3,40.2,39.4,38.5,37.4,36.5,37.8,39.4,38.6,38.9,37.2,36.3,34.8,35.3,33.6,31.3,25.7,23.9
Australia,5.36,5.05,5.12,4.9,4.77,4.84,4.91,4.85,4.93,4.86,4.75,4.38,3.91,3.74,3.58,3.41,3.32,3.31,3.23,3.23,2.82,2.8,2.62,2.8,2.64,2.62,2.6,2.62,2.56
Austria,7.78,7.62,7.41,7.2,7.34,7.43,6.89,6.49,6.23,6.05,5.8,5.76,5.5,4.9,5.27,5.24,5.53,5.25,5.32,5.21,4.94,4.68,4.58,4.84,4.53,4.35,3.93,3.69,3.66
Azerbaijan,41.1,41.7,41.6,42.4,43.5,43.5,43.2,42.6,42.6,41.3,40.1,40.2,39.9,39.5,39.3,39.6,38.6,39.6,38.2,38.3,37.9,37.6,37.1,36.8,36.4,36.3,36.3,36.3,36
Burundi,92.1,92.1,92.2,92.2,92.3,92.4,92.3,92.2,92,91.8,91.5,91.2,90.9,90.6,90.3,89.9,89.5,89.1,88.7,88.2,87.7,87.2,86.7,86.2,86.3,86.3,86.3,86.3,86.2
Belgium,3,2.9,2.63,2.89,2.68,2.75,2.66,2.24,2.39,1.91,1.38,1.79,1.72,2.22,2.04,1.95,1.86,1.55,1.49,1.35,1.3,1.17,1.36,1.22,1.18,1.25,1.16,0.994,0.919
Benin,50.9,50.8,50.6,50.3,50.1,49.8,49.5,49.3,48.8,48.4,47.9,47.5,47.1,46.6,46.3,45.9,45.3,44.8,44.5,44.1,43.6,43,42.3,41.6,41.1,40.6,39.9,39.1,38.3
